dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,pca_in_preprocessing,use_revin,context_length,forecasting_horizon,running_time,seed,metric,value,train_size
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,1023.8017175197601,832.0,mse,2.6650826480643226,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,1023.8017175197601,832.0,mae,1.1347583819809548,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,1023.8017175197601,832.0,scaled_mse,2.6570574342546207,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,1023.8017175197601,832.0,scaled_mae,1.1427084002501904,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,601.9906010627747,22708.0,mse,2.6868549104219532,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,601.9906010627747,22708.0,mae,1.1281782595822532,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,601.9906010627747,22708.0,scaled_mse,2.68417484364813,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,601.9906010627747,22708.0,scaled_mae,1.1373291845310194,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,17.98640513420105,15163.0,mse,2.924281430248045,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,17.98640513420105,15163.0,mae,1.1529810920908314,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,17.98640513420105,15163.0,scaled_mse,2.942060156100498,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,17.98640513420105,15163.0,scaled_mae,1.1666183696151458,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,18.10129952430725,13070.0,mse,2.916144354046445,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,18.10129952430725,13070.0,mae,1.152717235800184,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,18.10129952430725,13070.0,scaled_mse,2.933617012209647,141.0
Illness,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,24,18.10129952430725,13070.0,scaled_mae,1.1663240520957239,141.0
ETTh1,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,103.50513529777527,13316.0,mse,0.4323755689170356,1000.0
ETTh1,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,103.50513529777527,13316.0,mae,0.4317425763209692,1000.0
ETTh1,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,103.50513529777527,13316.0,scaled_mse,0.42975235331264383,1000.0
